Time	A	B	C	D	
225.0	0.0	-0.0	0.0	-0.0	
450.0	-0.0	0.0	10.16	2.22	
675.0	11.13	0.02	20.12	5.13	
900.0	15.59	0.03	21.51	4.05	
1125.0	25.98	0.05	22.73	2.78	
1350.0	47.92	0.06	39.19	1.85	
1575.0	55.86	0.03	48.77	-0.23	
1800.0	63.77	0.05	54.3	-0.58	
2025.0	69.87	0.07	61.09	-0.9	
2250.0	75.03	0.07	66.1	-1.17	
2475.0	79.61	0.06	70.42	-1.2	
2700.0	83.69	0.07	75.18	-1.19	
2925.0	87.88	0.08	79.57	-1.18	
3150.0	91.73	0.09	83.31	-1.14	
3375.0	96.22	0.09	87.4	-1.02	
3600.0	98.31	0.09	91.51	-0.9	
3825.0	101.3	0.09	93.7	-0.66	
4050.0	106.2	0.1	96.98	-0.34	
4275.0	110.01	0.1	101.32	-0.17	
4500.0	113.71	0.11	104.92	0.1	
4725.0	115.98	0.11	108.13	0.35	
4950.0	120.32	0.11	110.53	0.69	
5175.0	123.93	0.12	114.77	0.85	
5400.0	127.09	0.13	118.34	1.07	
5625.0	129.71	0.14	121.15	1.31	
5850.0	132.12	0.15	123.75	1.57	
6075.0	133.71	0.16	125.92	1.83	
6300.0	136.41	0.17	127.45	2.11	
6525.0	139.36	0.16	130.36	2.26	
6750.0	142.28	0.18	133.46	2.34	
6975.0	144.53	0.19	135.81	2.58	
7200.0	146.85	0.19	137.92	2.74	
7425.0	149.39	0.21	140.28	2.87	
7650.0	151.52	0.29	142.62	2.93	
7875.0	153.92	0.4	144.81	3.19	
8100.0	156.15	-19.46	147.05	3.37	
8325.0	157.41	-11.22	148.03	3.43	
8550.0	159.57	-8.47	150.63	3.56	
8775.0	160.94	-6.07	151.68	3.45	
9000.0	161.9	-6.48	153.38	2.88	
9225.0	162.03	-5.31	154.26	2.25	
9450.0	162.96	-1.81	154.51	2.25	
9675.0	163.17	2.67	155.05	2.41	
9900.0	164.54	1.22	156.13	2.57	
10125.0	166.27	0.66	157.5	2.85	
10350.0	167.46	0.39	158.68	3.57	
10575.0	169.5	0.05	160.08	4.07	
10800.0	170.94	0.07	161.99	4.27	
11025.0	173.34	-0.24	163.52	4.44	
11250.0	175.17	-1.05	165.08	4.55	
11475.0	178.63	-3.78	167.41	4.6	
11700.0	179.8	-2.9	170.31	4.65	
11925.0	181.28	-2.72	171.09	4.87	
12150.0	181.62	-2.15	171.76	5.04	
12375.0	182.21	-1.83	172.36	5.27	
12600.0	181.54	0.14	172.82	5.4	
12825.0	181.9	1.35	172.4	5.62	
13050.0	183.43	-0.43	173.28	5.66	
13275.0	187.07	-4.33	175.14	5.71	
13500.0	188.18	-3.11	177.91	5.74	
13725.0	190.1	-3.23	178.53	5.92	
13950.0	190.69	-2.79	179.76	6.02	
14175.0	191.55	-2.56	180.38	6.22	
14400.0	191.68	-2.14	180.94	6.34	
14625.0	192.43	-2.04	181.39	6.61	
14850.0	193.19	-2.11	182.27	6.84	
15075.0	194.22	-2.12	183.32	6.89	
15300.0	195.49	-2.15	184.18	7.02	
15525.0	196.46	-2.19	185.11	7.09	
15750.0	197.29	-2.21	185.89	7.22	
15975.0	198.22	-2.24	186.56	7.33	
16200.0	199.0	-2.3	187.26	7.44	
16425.0	199.86	-2.53	187.93	7.56	
16650.0	200.45	-2.52	188.7	7.7	
16875.0	200.98	-2.56	189.17	7.82	
17100.0	201.74	-2.49	189.58	7.97	
17325.0	202.27	-2.56	190.03	8.11	
17550.0	202.8	-2.56	190.62	8.28	
17775.0	203.51	-2.61	191.13	8.37	
18000.0	204.12	-2.6	191.84	8.54	
18225.0	204.57	-2.4	192.28	8.72	
18450.0	205.24	-2.91	192.55	8.75	
18675.0	205.77	-2.7	192.98	8.89	
18900.0	206.12	-2.89	193.35	9.03	
19125.0	207.01	-3.13	193.54	9.13	
19350.0	207.57	-3.51	193.33	9.41	
19575.0	208.19	-3.64	194.14	9.64	
